verdict,intervention,evidence (1-5),benefit (1-5),score (E x B),safety,effort,access,mechanism / target,what to measure,conflicts & cautions,why this score
DO IF off target,Ezetimibe (generic),4,4,16,OK,trivial,"Rx, ~$10/mo",NPC1L1 / cholesterol absorption,ApoB at 8 weeks,none,E4: IMPROVE-IT showed a real but modest hard-outcome benefit on top of statin. B4: adds roughly 20% ApoB reduction for pocket change. Best value-per-dollar pairing in the document and absent from your source table entirely.
DO NOW,Injury prevention,4,4,16,OK,trivial,free,external-cause mortality,n/a,none,"E4: natural-experiment and case-control evidence for seatbelts, helmets and safe storage is overwhelming even without RCTs. B4: unintentional injury is a leading cause of death for US males aged 35-44 right now. Absent from every longevity list including yours."
TEST FIRST,"Lp(a), once, lifetime",4,4,16,OK,trivial,lab test ~$30,genetic ASCVD + aortic stenosis risk,"once, never repeat","each Lp(a) particle carries one apoB-100, so a high Lp(a) sets a floor under achievable ApoB",E4: Mendelian randomisation causality is settled; the therapy it would trigger is not yet proven (Lp(a)HORIZON pending). B4: determines how aggressive the whole ApoB plan should be. Highest information-per-dollar test here.
TEST FIRST,Home sleep apnea test,4,4,16,OK,low,"Rx, ~$200",OSA,once; repeat if weight shifts,none,"E4: diagnostic accuracy is solid; CPAP RCTs (SAVE, RICCADSA) were neutral for MACE though clearly positive for symptoms and BP. B4: undiagnosed OSA silently drives hypertension, AF and cognitive decline. Weight trajectory on tirzepatide makes this timely."
DO IF statin-intolerant,Bempedoic acid,4,4,16,MONITOR,moderate,"Rx, ~$400/mo",ATP citrate lyase,ApoB; uric acid,raises uric acid; tendon rupture signal,"E4: CLEAR Outcomes showed MACE reduction, but in a statin-intolerant population. B4: meaningful ApoB reduction. Only relevant if you cannot tolerate a statin."
CONTINUE,GLP-1 / GIP agonist (tirzepatide),4,4,16,MONITOR,moderate,Rx,"incretin, appetite, cardiometabolic",DEXA lean mass; HbA1c; ApoB,*** euglycemic ketoacidosis if combined with an SGLT2i ***; hold before anesthesia; conflicts with low-protein protocols,E4: SELECT showed ~20% MACE reduction with semaglutide in non-diabetic overweight adults; for tirzepatide specifically the hard-outcome trial (SURMOUNT-MMO) has not reported. B4: the best-evidenced pharmacological item in your stack. Pair with protein and lifting or the lean-mass cost is real.
DO IF affordable,ApoB to <30 mg/dL (the increment beyond <60),4,4,16,MONITOR,high,Rx; needs triple therapy,cumulative ApoB exposure,ApoB q8wk during titration; hsCRP; HbA1c,"requires a PCSK9i, which insurance will not cover without ASCVD or FH; Lp(a) sets a hard ApoB floor","E4: no RCT has ever RANDOMISED anyone to an ultra-low target. The support is post-hoc achieved-level analysis (FOURIER-OLE: monotonic benefit down to LDL-C <20 mg/dL over ~7 years, no excess safety signal) plus genetic evidence from PCSK9 and ANGPTL3 loss-of-function carriers who are healthy at lifelong LDL in the teens. Strong, but a different evidence class than the <60 target. B4: the increment is real, and cumulative-exposure logic makes it MORE attractive at 39 than at 65 - but it is the second slice of a shrinking pie, taken from an already-reduced baseline. Scores below the <60 target because the increment is smaller and rests on weaker evidence, and lands at 'high' effort because reaching it costs roughly 100x more per year."
DO NOW,Sleep 7-9h,3,5,15,OK,trivial,free,"circadian, glymphatic, metabolic",tracker; HSAT if apnea suspected,none,"E3: strong and consistent observational plus Mendelian randomisation, but sleep-extension RCTs with hard outcomes do not exist. B5: nothing else on this list works properly if this is broken. Reallocated time, not extra time."
DO NOW,Resistance training 2-3x/wk,3,5,15,OK,moderate,free,"mTORC1, myonuclear, bone",DEXA lean mass; grip strength,rapamycin blocks contraction-induced muscle protein synthesis; methionine restriction removes the substrate,"E3: RCTs are consistent but measure surrogates - strength, lean mass, function - not mortality. B5: non-negotiable on a GLP-1, because it is the only thing that reliably protects the lean mass the drug puts at risk."
DO IF off target,"PCSK9i - enlicitide (Lipfendra), oral",3,5,15,OK,high,"Rx, approved 15-16 Jul 2026",PCSK9 / LDL receptor recycling,ApoB; Lp(a),none known,"E3: CORALreef Lipids gave 55.8% placebo-adjusted LDL-C and ~50% ApoB reduction, but these are SURROGATE endpoints - CORALreef Outcomes (>14,500) has not reported. B5: removes the injection barrier for the best non-statin target. Scores below the injectables purely on missing outcomes data."
DO NOW,Alcohol minimal or none,4,3,12,OK,trivial,free,"carcinogen, sleep, BP",intake log; GGT,none,"E4: Mendelian randomisation has essentially dismantled the J-curve; the apparent benefit of moderate drinking was confounding. B3: real but diffuse - cancer, sleep quality, blood pressure. Absent from your source document entirely."
DO NOW,"Protein 1.2-1.6 g/kg/day, distributed",3,4,12,OK,trivial,food,muscle protein synthesis,DEXA lean mass; grip,DIRECT CONFLICT with the proposed methionine restriction protocol,"E3: RCTs are consistent but measure lean mass and strength, not mortality. B4: on a GLP-1 this is the difference between losing fat and losing muscle. Distribution across meals beats bolus loading."
TEST FIRST,Radon test (home),4,3,12,OK,trivial,~$15 kit,lung cancer,once; retest after mitigation,none,"E4: consistent dose-response across miner cohorts and pooled residential analyses; no RCT is possible. B3: for a never-smoker, mitigation removes roughly 1% absolute lifetime risk. Cook County is EPA Radon Zone 1."
DO AT 50,Shingrix (recombinant zoster vaccine),3,4,12,OK,low,"Rx, age 50+",VZV reactivation; off-target immune,n/a,none,"E3: the zoster efficacy RCTs are excellent, but the dementia finding rests on natural experiments (Wales, Australia, Canada) and cohort data, not an RCT. B4: ~20-51% dementia risk reduction and ~23% lower CV events if it holds. Strongest new geroprotective signal in two years. CALENDAR ITEM - you are not eligible at 39."
TEST FIRST,VO2max,3,4,12,OK,low,~$150 or estimate,cardiorespiratory fitness,annual,none,"E3: observational only - nobody randomises people to fitness. B4: the fitness-mortality gradient is among the largest effect sizes in the epidemiological literature. Track this, not minutes trained."
DO NOW,Creatine monohydrate 5 g/day,3,3,9,OK,trivial,"OTC, ~$30/yr","phosphocreatine, cell hydration",DEXA; grip; strength log,none,"E3: hundreds of RCTs, but on strength and lean mass rather than hard outcomes. B3: modest on its own, more valuable here because it directly counteracts GLP-1 lean-mass loss. The most conspicuous omission from your 128-row source list. Unflavored monohydrate only."
DO NOW,Fiber 35-40 g/day,3,3,9,OK,trivial,food,"microbiome, lipids, glycemia",intake log,none,E3: large consistent cohorts plus RCTs on surrogates. B3: among the strongest single diet-mortality signals in the literature. Absent from your source.
DO NOW,Hearing protection,3,3,9,OK,trivial,~$30,dementia risk,audiogram q5y,none,"E3: rests on the hearing-loss-to-dementia cohort literature. B3: the loss is irreversible, which is what makes cheap prevention worth it. Range, power tools, mowing, concerts."
DO NOW,Social connection,3,3,9,OK,low,free,"stress, behaviour, inflammation",n/a,none,"E3: observational only, but the meta-analytic effect sizes for social isolation are in the same range as major behavioural risk factors. B3: real and diffuse. Note that your source ranks the Ornish program at 11/11 pathways partly BECAUSE it includes social support - so the mechanism is already implicitly in your document, just not as a row you could act on."
WATCH (act if you come off tirzepatide),Pasteurized A. muciniphila (MucT) - weight-regain prevention,3,3,9,OK,moderate,"OTC, sold separately from Pendulum",Amuc_1100 surface protein; gut barrier; insulin sensitivity,weight and DEXA during and after GLP-1 taper; baseline Akkermansia abundance if testing,"different preparation from Pendulum's - pasteurized single strain, not a live multi-strain blend","E3: three independent RCTs now, with academic rather than in-house leadership. Mount et al., Nature Medicine, June 2026 (n=90, Maastricht/Copenhagen): after an 8-week low-energy diet, 24 weeks of pasteurized MucT gave 1.2 kg regain versus 3.2 kg on placebo (P=0.012), ~40% of the MucT group kept losing weight versus ~5% on placebo, no serious adverse events. Depommier 2019 (Nature Medicine, n=32) and Zhang 2025 (Cell Metabolism) point the same direction. B3: weight-regain after weight loss is the single unsolved problem for anyone on a GLP-1, and this is the only supplement on the entire list with a positive RCT aimed at it. Held at 3x3 rather than higher because the effect is ~2 kg over 24 weeks, the weight loss was diet-induced rather than GLP-1-induced (an extrapolation), and both Zhang and Mount found the benefit concentrates in people with LOW baseline Akkermansia - so it is a responder-dependent intervention without a validated way to identify responders."
DO NOW,H. pylori stool antigen,4,2,8,OK,trivial,lab ~$60,gastric cancer,"once, lifetime",none,"E4: test-and-treat RCTs reduce gastric cancer incidence, though mostly in high-incidence populations. B2: US absolute risk is low. Scores modestly but the effort is one stool sample and the cure is permanent."
DO NOW,Hepatitis C: one-time screening,4,2,8,OK,trivial,insurance,"chronic HCV, cirrhosis, HCC","once, lifetime",none,"E4: USPSTF recommends one-time screening for all adults 18-79; direct-acting antivirals are curative in >95%. B2: low prevalence, but the asymmetry is unusual - a single blood draw that can prevent cirrhosis and liver cancer outright. Same structural logic as the H. pylori row."
DO NOW,"Influenza vaccination, annual",4,2,8,OK,trivial,insurance,infection; possible off-target CV benefit,n/a,none,"E4: efficacy RCTs are solid, and post-MI trials (IAMI) showed reduced all-cause death, hinting at a cardiovascular benefit beyond infection itself. B2: modest for a healthy 39-year-old. Belongs on the list mainly because the vaccine-and-dementia literature that makes Shingrix interesting is not obviously zoster-specific."
DO NOW,Sun protection / UV avoidance,4,2,8,OK,trivial,~$40/yr,UV-induced DNA damage,annual skin exam,none,"E4: RCTs show reduced melanoma and squamous cell carcinoma incidence with regular sunscreen use. B2: modest in mortality terms for a suburban Midwesterner, but skin cancer is the most common cancer and the prevention is nearly free. Your source had 'sun exposure' as a POSITIVE row with no mention of the downside."
DO NOW,HPV vaccination,4,2,8,OK,low,"Rx, approved through 45",oncogenic HPV,n/a,none,"E4: RCTs on cancer-precursor endpoints plus registry data on cancer incidence. B2: at 39 you have likely already been exposed, so the residual benefit is modest. Scores low but the window shuts at 45 and rising male oropharyngeal cancer makes it a reasonable cheap bet."
WATCH,"Lp(a)-lowering therapy (pelacarsen, olpasiran, lepodisiran, muvalaplin)",2,4,8,OK,high,not yet approved,apo(a) synthesis,Lp(a) once,none,"E2: no outcomes data yet for any agent in the class. B4: if Lp(a) is elevated it is your single largest unaddressed genetic risk, and nothing currently available lowers it much. Lp(a)HORIZON (pelacarsen, n=8,323) is the first CV outcomes trial for the class and is expected to report before the end of 2026. This row exists so the readout finds you already knowing your number."
DO NOW,Baseline audiogram,3,2,6,OK,trivial,insurance,hearing loss / dementia risk,"once, then q5y",none,"E3: hearing loss is the largest single modifiable dementia risk factor in the Lancet Commission model, but the causal chain rests on cohort data. B2: at 39 the value is a baseline to detect drift against."
DO NOW,Bedroom HEPA / PM2.5 awareness,3,2,6,OK,trivial,~$150,particulate exposure,PM2.5 monitor,none,E3: air pollution epidemiology is strong; the specific benefit of consumer HEPA is inferred. B2: small absolute effect at US suburban exposure levels. Cheap enough to do anyway.
DO NOW,Grip dynamometer,3,2,6,OK,trivial,~$30 once,whole-body strength proxy,monthly,none,"E3: observational. B2: it will not change your outcome by itself, but it is the cheapest early-warning signal for the lean-mass problem GLP-1s create."
CONTINUE,Omega-3 (EPA/DHA),3,2,6,OK,trivial,OTC,"membrane, inflammation, triglycerides",omega-3 index,additive bleeding with aspirin or nattokinase; AF signal at high dose,"E3: VITAL, REDUCE-IT and STRENGTH give a mixed and dose-dependent picture. B2: small. Already in your stack, no reason to stop, no reason to escalate the dose."
SKIP,Red yeast rice / monacolins,3,2,6,AVOID,trivial,OTC,HMG-CoA reductase,lipids; ALT,*** unstandardised lovastatin at an unknown dose - do not stack with a statin ***,"E3: it works, because it is a statin. B2: same benefit as a prescription statin. Flagged AVOID only because the dose is unknown and unregulated. Take the actual statin."
TEST FIRST,Vitamin D (25-OH),3,2,6,OK,trivial,lab test,pleiotropic,"once, then as needed",none,E3: VITAL was largely null for supplementation; correcting frank deficiency has better support. B2: only matters if you are actually deficient. Test rather than assume.
OPTIONAL,hsCRP,3,2,6,OK,trivial,lab ~$15,residual inflammatory risk,annual with ApoB,none,"E3: consistently predictive, but interventions targeting it have a mixed record. B2: mainly gates the inflammation question - whether residual risk after ApoB control is inflammatory. Cheap enough to add to a draw you are already doing."
THINK FIRST,APOE genotype / CAD polygenic risk score,3,2,6,OK,low,DTC or clinical,genetic risk stratification,once,"*** GINA covers health insurance but NOT life, disability or long-term-care insurance ***","E3: APOE4 is robustly predictive; polygenic scores are improving but not yet decision-changing for most people. B2: at 39 there is little you would do differently that is not already on this list. The real consideration is not medical - secure term life and own-occupation disability coverage BEFORE testing, because those underwriters can legally use the result and two young children make that coverage worth more than the information."
SKIP,Rapamycin 5-6 mg weekly,2,3,6,MONITOR,low,Rx,mTORC1,lipids; glucose; CBC; mouth ulcers,*** blocks contraction-induced muscle protein synthesis; t-half ~62h so weekly dosing does not clear a 3x/wk lifting schedule ***; berberine and quercetin raise exposure,"E2: the best animal lifespan data of any molecule, but PEARL - the only RCT in normative aging - MISSED its primary endpoint, and its one significant efficacy finding was lean mass in WOMEN at 10mg, n=114, ages 50-85. B3: real if it translates. For a 39-year-old man PEARL establishes safety and little else, and it actively fights the intervention scoring 15 above it."
AVOID,Aspirin,5,1,5,AVOID,trivial,OTC,COX-1,n/a,additive bleeding with fish oil or nattokinase,E5: extremely well studied. B1: and the evidence says it does not help you - ASPREE showed net harm in healthy older adults and there is no primary-prevention indication at 39 without established risk. A high evidence score attached to a finding of no benefit.
DEFER TO 45-50,Coronary artery calcium,5,1,5,OK,low,~$100,subclinical atherosclerosis,revisit at 45-50,none,"E5 for risk stratification. B1 at your age: most 39-year-olds score zero, and zero does not exclude soft plaque - so the result will not change what you do. Earlier only if ApoB or Lp(a) come back high."
OPTIONAL,"Homocysteine, B12, folate",2,2,4,OK,trivial,lab ~$40,one-carbon metabolism,"if pursuing any methionine work, or on metformin",none,"E2: homocysteine-lowering RCTs have not reduced cardiovascular events. B2: near-zero as a therapy target. Included only because it is the correct biochemical readout if you pursue methionine work, and because metformin depletes B12."
SKIP,Metformin,2,2,4,MONITOR,trivial,Rx,"AMPK, complex I",HbA1c; B12 annually,*** blunts exercise VO2max and mitochondrial adaptation ***,"E2: TAME remains unfunded; diabetes RCTs do not transfer to a normoglycemic 39-year-old. B2: speculative. It conflicts directly with cardio training, which scores 20 against its 4."
OPTIONAL,Blood donation 2-3x/yr,2,2,4,OK,low,free,"iron, hemodilution",ferritin; hematocrit,none,"E2: observational only. B2: weak in isolation. Worth noting that this jumps sharply in value if you ever start TRT, where it is the standard erythrocytosis management tool."
DO NOW,Dental / periodontal care,2,2,4,OK,low,insurance,"P. gingivalis, systemic inflammation",periodontal exam 2x/yr,none,"E2: the CVD and dementia links are observational; intervention trials show surrogate improvement only. B2: modest. You would do this anyway - it scores low because the *aging* claim is weak, not because dental care is optional."
OPTIONAL,Methionine reduction via food choice (protein held constant),2,2,4,OK,low,food,"SAM/SAH, FGF21, IGF-1",DEXA lean mass; plasma methionine; homocysteine,cancelled by NAC/GlyNAC; do not combine with total protein restriction on a GLP-1,"E2: rodent lifespan data is solid, human data is short-term and surrogate-only. B2: plausible but unproven. This is the SAFE version of your protocol - shift sources toward legumes, soy and dairy, which cut methionine 25-40% while total protein stays flat."
AVOID (revisit if T2D/CKD/HF),"SGLT2 inhibitors (canagliflozin, empagliflozin)",2,2,4,AVOID,low,Rx,SGLT2,ketones; volume status; genital exam,"*** SEVERE: with a GLP-1 plus any carb restriction or fasting -> EUGLYCEMIC KETOACIDOSIS, documented in non-diabetics; glucose reads normal so it is routinely missed ***","E2: ITP gave +14% median in MALES ONLY, and every human outcome trial is in T2D, HF or CKD where the benefit is largely hemodynamic and renal. B2: no trial exists in metabolically healthy non-diabetics. Your source ranked this #1 on a 12/12 gerotherapeutics score - but that score means 'most deserves a trial', which entails the human aging evidence does not exist. AVOID is driven by the tirzepatide interaction, not the drug itself."
OPTIONAL,Time-restricted feeding / periodic FMD,2,2,4,OK,low,free,"amino acid response, FGF21, autophagy",FGF21; IGF-1; weight,*** ketoacidosis risk if combined with an SGLT2i ***,"E2: human trials exist but measure surrogates over short horizons. B2: modest. Listed mainly because it is the human-data version of the FGF21 signal you are chasing with methionine restriction, at a fraction of the risk."
SKIP (for its stated indication),"Pendulum Glucose Control (WBF-011: A. muciniphila, C. butyricum, C. beijerinckii, A. hallii, B. infantis + inulin)",2,2,4,OK,moderate,"OTC subscription, ~$150-200/mo",live multi-strain; butyrate production; SCFA-mediated GLP-1 secretion,HbA1c; fasting insulin; CGM postprandial excursions if curious,the chicory-root inulin is a fermentable prebiotic - stacked on tirzepatide's delayed gastric emptying it will likely worsen bloating and gas,"E2: one RCT (Perraudeau 2020, BMJ Open Diab Res Care, NCT03893422) - real, randomised, double-blind, placebo-controlled, and it found HbA1c -0.6% and postprandial glucose AUC -33% at 12 weeks. But the active WBF-011 arm was n=23 against n=26 placebo, ALL SEVENTEEN AUTHORS were Pendulum employees, the paper calls itself proof-of-concept, and six years later there is still no independent replication - the one planned academic study (USC, NCT04228003) was WITHDRAWN before it started, 'the funding and project never started'. A 2022 BMC Microbiology follow-up from the same group showed circulating butyrate and ursodeoxycholate rose, which supports the mechanism but is not independent confirmation. B2: the studied population was T2D on metformin. You are on tirzepatide, which lowers HbA1c by roughly 2.0-2.4%; this is a 0.6% agent tested on top of metformin, and its proposed mechanism - SCFA-driven ENDOGENOUS GLP-1 secretion - is the pathway your drug already saturates pharmacologically. Nobody has tested it on top of a GLP-1."
OPTIONAL,Sauna 3-4x/wk,2,2,4,OK,moderate,varies,"heat shock proteins, vascular",n/a,none,"E2: the Finnish cohort data is suggestive and heavily confounded by who uses saunas; no RCT. B2: fine if you enjoy it, which is a legitimate reason."
SKIP,Testosterone (absent hypogonadism),4,1,4,MONITOR,moderate,Rx,androgen receptor,total and free T; SHBG; hematocrit; PSA,raises hematocrit; suppresses fertility,"E4: TRAVERSE established cardiovascular safety and, importantly, showed no benefit in men who are not hypogonadal. B1: no route to changing your outcomes if your levels are normal. Score is low by design - the evidence is good and it says do not do this."
SKIP,Astaxanthin,2,1,2,OK,trivial,OTC,antioxidant,n/a,blunts exercise adaptation,E2: an ITP hit (+12%) that FAILED TO REPLICATE at a different dose and start age in the April 2026 ITP report. B1: no human outcome data. The replication failure is the point - it is why the rodent-lifespan column in your source cannot be trusted.
SKIP,Berberine,2,1,2,AVOID,trivial,OTC,AMPK,HbA1c,"*** potent CYP3A4 / P-gp inhibitor - raises statin, rapamycin and tadalafil exposure unpredictably ***",E2: rodent and small human data. B1: nothing a statin does not do better. Flagged AVOID because the interaction liability is real and it buys you nothing.
SKIP,17-alpha estradiol,2,1,2,MONITOR,low,not practically available,-,n/a,none,E2: a male-specific ITP hit (+19%) - genuinely one of the more interesting results in the field. B1: zero human data. Watch this one; do not take it.
SKIP,Low-dose colchicine (Lodoco 0.5 mg),2,1,2,MONITOR,low,Rx,IL-1beta / NLRP3 inflammation,hsCRP; renal function,"interacts with CYP3A4 and P-gp inhibitors, including berberine and grapefruit","E2: COLCOT and LoDoCo2 were positive, but CLEAR SYNERGY/OASIS-9 (7,062 patients, ~3 years) was NEUTRAL (HR 0.99), and LoDoCo2 and COPS showed numerically higher non-cardiovascular death. Guidelines sit at class 2b. B1: every trial is secondary prevention in established ASCVD - there is no primary-prevention indication at 39. A genuine geroscience-adjacent candidate that was missing from your source, and the honest answer is still no."
SKIP,NAC / GlyNAC / glutathione,2,1,2,OK,low,OTC,glutathione precursor,n/a,*** cysteine reverses essentially all metabolic effects of methionine restriction (Elshorbagy) ***; blunts exercise adaptation,E2: small human trials on surrogates. B1: no demonstrated outcome benefit in a healthy 39-year-old. Three separate rows in your source for one mechanism - pick one or none. Actively cancels the methionine protocol.
SKIP,NMN / NR,2,1,2,OK,moderate,OTC,NAD+,none reliable,redundant with niacin,E2: NR gave +5% in ITP; human trials raise NAD+ without downstream functional benefit. B1: nothing measurable has followed the biochemistry. Expensive for the score.
SKIP,Fisetin,1,1,1,OK,trivial,OTC,senolytic,none available,none,"E1: ITP result was null (-5 to +7%). B1: no human outcome data. Mayo trials ongoing, none positive yet."
AVOID,Methylene blue,1,1,1,AVOID,trivial,Rx,mitochondrial electron carrier,n/a,"*** potent MAO-A inhibitor: SEROTONIN SYNDROME with any SSRI, SNRI or triptan ***","E1: no human aging data. B1: none. Flagged AVOID for the interaction alone - this is a hospitalisation-grade risk, not a caution. Note that under the old averaged scoring this danger was diluted by the drug being cheap."
SKIP,Resveratrol,1,1,1,OK,trivial,OTC,sirtuins (contested),n/a,none,"E1: failed ITP, poor bioavailability, and the sirtuin mechanism itself is disputed. B1: none. The Sinclair-era case has not held."
SKIP,Taurine,1,1,1,OK,trivial,OTC,-,n/a,none,"E1: PREMISE RETRACTED. Fernandez et al., Science 2025 - longitudinal data across three human cohorts, rhesus monkeys and mice show taurine RISES or holds steady with age, with interindividual variation exceeding any age effect. B1: the rationale for supplementing it has been removed."
SKIP (change trigger to diagnosis),"Bisphosphonates, acipimox, pentoxifylline, azithromycin, piperlongumine, ACE-i/ARB, beta blockers",1,1,1,MONITOR,low,Rx,various,disease-specific,various,E1 for an AGING indication - these have good evidence for the diseases they treat and none for healthy 39-year-olds. B1: no route to benefit absent the diagnosis. Keep the rows; change the trigger condition from 'aging' to 'diagnosis'.
SKIP,Dasatinib + quercetin (D+Q),1,1,1,MONITOR,moderate,Rx (D),senolytic,none widely available,quercetin inhibits CYP3A4 and raises dasatinib exposure,"E1: no human outcome data. B1: senescent-cell burden at 39 is low, so there is little to clear. Right idea, wrong decade - revisit at 60."
AVOID,Methioninase (oral rMETase),1,1,1,AVOID,moderate,direct order only,methionine degradation,plasma methionine,cancels with NAC/GlyNAC; compounds GLP-1 lean-mass loss,"E1: human oral evidence is TWO CASE REPORTS in advanced cancer, from essentially one lab over 30 years. B1: no plausible benefit at 39. Bacterial enzyme (Pseudomonas putida); the injectable form was strongly immunogenic in primates and caused reduced intake, weight loss and transient hemoglobin decline. Sold as a 'dietary supplement', which is a regulatory classification rather than a safety finding. Produces methanethiol, alpha-ketobutyrate and ammonia. Long-term safety data in healthy people is ABSENT, not weak."
AVOID,"Methionine restriction <1g/day, 5 days/week",1,1,1,AVOID,moderate,food + supplement,"SAM/SAH, FGF21, IGF-1",DEXA lean mass; grip,*** compounds GLP-1 lean-mass loss; cancelled by NAC/GlyNAC; training and restriction are scheduled out of phase ***,"E1: Fanti/Longo (Cell Metabolism, June 2026) found a low-protein diet SUPPLEMENTED with methionine reduced frailty without lean-mass loss - too little methionine caused frailty, too much abolished the benefit. B1: this protocol aims at the frailty arm of that curve. Methionine is the initiator amino acid for all translation; 5-on/2-off collects the muscle-loss debit reliably and the metabolic credit unreliably."
SKIP,"Supplement bundle: AKG, spermidine, urolithin A, ergothioneine, apigenin, carnosine, lithium, C15:0, MitoQ, CoQ10, green tea extract, curcumin, ginger, ashwagandha, melatonin, generic multi-strain probiotics, butyrate, nattokinase, glucosamine, chondroitin, TA-65, Khavinson peptides, plasmalogens, GLYLO",1,1,1,OK,moderate,OTC,various,mostly none exist,several blunt exercise adaptation; several are CYP inhibitors; nattokinase adds bleeding risk,"E1: mechanism-level evidence only, and where ITP has tested these it has mostly returned nulls. B1: no route to a measurable outcome. Individually harmless, collectively a tax on attention, adherence, liver and wallet. Roughly 35 source rows collapse here. Carve-out: 'probiotics' as a CATEGORY belongs here at 1, but specific clinically-tested strain combinations do not - the evidence in this field attaches to named strains at named doses, not to the category. Those get their own rows."
AVOID,"EDTA chelation, HBOT, mitochondrial transfusion, stem cells / exosomes / VSELs, follistatin and telomerase gene therapy, flagellin immunisation",1,1,1,AVOID,high,medical tourism or unregulated clinics,various,none,various,E1: no human aging evidence. B1: none. Unregulated administration carries real procedural risk with nothing on the benefit side to justify it.
AVOID,TRIIM / TRIIM-X protocol (rhGH + DHEA + metformin),1,1,1,AVOID,high,trial is ages 40-80; you are 39,thymus regeneration,thymic MRI; epigenetic clocks,"*** raises IGF-1 - directly opposes rapamycin, methionine restriction and every CR mimetic on this list ***","E1: original TRIIM was n=9, single-arm, UNCONTROLLED, and no peer-reviewed TRIIM-X results exist seven years on. B1: thymic involution at 39 is modest, and rhGH raises IGF-1 where the evidence points the other way. The metformin in the cocktail exists to offset GH-induced insulin resistance the protocol itself creates."
